protein,length,pLDDT,pTM,plddt_class,id
group_9746,301,75.6,0.864,Confident,NA
group_10158,301,91,0.945,Very high,NA
group_238,301,93.1,0.953,Very high,NA
group_203,302,94,0.886,Very high,NA
group_206,302,79,0.81,Confident,NA
group_10101,302,84.4,0.917,Confident,NA
group_10662,302,91.3,0.941,Very high,NA
ybcF_2,303,92.2,0.952,Very high,NA
group_10608,303,82.3,0.532,Confident,NA
group_10053,304,83.1,0.562,Confident,NA
group_10061,304,86.4,0.927,Confident,NA
group_10115,304,78,0.83,Confident,NA
group_145,304,91.5,0.957,Very high,NA
group_99,305,87.6,0.659,Confident,NA
rpnB_3,305,84.2,0.719,Confident,NA
zitB_2,306,90.3,0.91,Very high,NA
group_9836,306,87.9,0.719,Confident,NA
traN_2,306,59.3,0.384,Low,NA
group_10457,306,74.5,0.58,Confident,NA
dapA_1,307,87.3,0.925,Confident,NA
group_9773,307,73.2,0.612,Confident,NA
group_10120,307,81.6,0.542,Confident,NA
group_10402,307,87,0.803,Confident,NA
group_9564,308,88.4,0.937,Confident,NA
group_9763,308,81.3,0.455,Confident,NA
group_10675,308,88.4,0.923,Confident,NA
group_10724,308,85.9,0.691,Confident,NA
group_9365,309,90.1,0.817,Very high,NA
group_8227,309,82.7,0.862,Confident,NA
group_8228,309,73.7,0.854,Confident,NA
group_10055,309,92.1,0.946,Very high,NA
group_8231,309,85.5,0.927,Confident,NA
group_8234,309,76.4,0.505,Confident,NA
group_10258,309,90.2,0.951,Very high,NA
group_10793,309,75.9,0.684,Confident,NA
group_8239,309,81.3,0.557,Confident,NA
group_9827,310,84.3,0.885,Confident,NA
group_8238,310,83,0.538,Confident,NA
group_10178,310,89.5,0.945,Confident,NA
group_8165,311,94.8,0.93,Very high,NA
group_8166,311,95.2,0.973,Very high,NA
group_9420,311,80.3,0.417,Confident,NA
group_9790,311,81.4,0.905,Confident,NA
group_9839,311,68.5,0.68,Low,NA
group_10743,311,79.5,0.8,Confident,NA
rbn_2,312,83.5,0.882,Confident,NA
psdht,313,96.1,0.974,Very high,NA
group_9771,313,77.9,0.782,Confident,NA
group_10067,315,76.1,0.748,Confident,NA
ompT,315,89.8,0.909,Confident,NA
lsrR_2,316,89,0.824,Confident,NA
group_9367,316,92.8,0.863,Very high,NA
group_10280,316,86.4,0.922,Confident,NA
group_8024,316,93,0.963,Very high,NA
cdhR,317,89.4,0.688,Confident,NA
group_10070,317,81.8,0.892,Confident,NA
group_10753,317,79.5,0.767,Confident,NA
group_9548,318,82.4,0.797,Confident,NA
group_9770,318,84.7,0.848,Confident,NA
group_9787,318,79.4,0.418,Confident,NA
group_10035,318,64.7,0.384,Low,NA
group_10183,318,84.7,0.919,Confident,NA
group_7943,318,89.5,0.887,Confident,NA
group_9391,319,86.6,0.887,Confident,NA
group_7920,319,88.3,0.856,Confident,NA
group_10204,319,92.5,0.952,Very high,NA
group_10684,319,86,0.599,Confident,NA
group_10128,320,49.7,0.49,Very low,NA
group_9353,321,92.5,0.939,Very high,NA
group_7810,321,79.8,0.715,Confident,NA
group_10749,321,91.6,0.921,Very high,NA
group_9464,321,92.1,0.93,Very high,NA
yiaO_2,322,79.3,0.807,Confident,NA
group_10064,322,90.2,0.647,Very high,NA
group_9762,323,83.3,0.523,Confident,NA
group_7724,323,92.4,0.884,Very high,NA
group_7726,323,70,0.529,Confident,NA
group_7728,323,82.7,0.879,Confident,NA
group_9720,324,27.1,0.164,Very low,NA
group_9742,324,87.9,0.661,Confident,NA
group_10054,324,82.9,0.522,Confident,NA
group_10880,324,87.9,0.93,Confident,NA
group_9471,326,82.4,0.855,Confident,NA
group_7597,326,88.9,0.833,Confident,NA
group_7599,326,89.7,0.828,Confident,NA
hldD,326,94,0.966,Very high,NA
parM_4,326,87.2,0.909,Confident,NA
group_10856,326,76.6,0.589,Confident,NA
group_9537,327,91.8,0.939,Very high,NA
group_7545,327,80.6,0.463,Confident,NA
yiaO_4,327,78.8,0.802,Confident,NA
group_7547,327,76.1,0.653,Confident,NA
group_10896,327,75.6,0.589,Confident,NA
group_7503,328,67.7,0.424,Low,NA
group_9372,329,88.4,0.65,Confident,NA
group_9562,329,83.4,0.886,Confident,NA
group_9696,329,85.9,0.924,Confident,NA
wbbI,330,88.2,0.939,Confident,NA
group_7435,330,81.1,0.903,Confident,NA
group_10859,330,90.2,0.933,Very high,NA
group_10796,331,85.7,0.922,Confident,NA
group_9653,332,33.2,0.308,Very low,NA
group_9612,333,63.9,0.587,Low,NA
group_7321,334,91.1,0.859,Very high,NA
argI_2,334,92.6,0.96,Very high,NA
group_9597,335,79.5,0.735,Confident,NA
group_9599,335,76.9,0.61,Confident,NA
group_7290,335,81.3,0.699,Confident,NA
group_7291,335,80.5,0.85,Confident,NA
group_7292,335,81.6,0.646,Confident,NA
group_7271,336,72.6,0.421,Confident,NA
cydB_1,336,89.5,0.944,Confident,NA
cysH_2,336,80.6,0.847,Confident,NA
lgoD_2,337,94.8,0.973,Very high,NA
group_7251,337,88.2,0.422,Confident,NA
group_10347,337,87.7,0.924,Confident,NA
group_10363,337,75.4,0.382,Confident,NA
virB6,337,84,0.786,Confident,NA
group_7216,338,89,0.914,Confident,NA
group_10742,338,82.1,0.879,Confident,NA
group_7182,339,75.8,0.508,Confident,NA
group_9468,339,86,0.899,Confident,NA
group_9563,339,86.9,0.933,Confident,NA
group_7188,339,91.6,0.849,Very high,NA
group_10701,339,93.1,0.943,Very high,NA
group_9355,340,87,0.901,Confident,NA
group_10049,340,80.6,0.808,Confident,NA
group_10081,340,65.6,0.666,Low,NA
group_7123,341,88.6,0.95,Confident,NA
group_10113,341,93.1,0.959,Very high,NA
group_10726,341,90.7,0.918,Very high,NA
group_10881,341,81.3,0.849,Confident,NA
rbsR_2,342,95.3,0.944,Very high,NA
cra_3,342,93.9,0.936,Very high,NA
group_7081,342,90.5,0.822,Very high,NA
group_9568,343,80.1,0.817,Confident,NA
purR_2,343,92.8,0.944,Very high,NA
iaaA_2,343,91,0.92,Very high,NA
group_10253,343,88.9,0.931,Confident,NA
group_10360,343,78.4,0.65,Confident,NA
hypE_1,343,83.1,0.886,Confident,NA
group_10703,343,75.5,0.776,Confident,NA
group_10885,343,81.3,0.856,Confident,NA
group_9502,344,93.2,0.957,Very high,NA
rihB_2,344,80.6,0.891,Confident,NA
group_10357,344,81.2,0.832,Confident,NA
gmd_2,344,89.7,0.937,Confident,NA
group_9499,345,85.8,0.618,Confident,NA
group_9900,345,88.1,0.798,Confident,NA
group_10429,345,64.4,0.586,Low,NA
group_10669,345,88.3,0.948,Confident,NA
group_10968,345,93.4,0.938,Very high,NA
group_6982,346,80.6,0.912,Confident,NA
group_6984,346,62.7,0.416,Low,NA
group_10118,346,88.4,0.866,Confident,NA
group_10126,346,86.8,0.926,Confident,NA
group_10602,346,68.8,0.492,Low,NA
group_10251,347,91.3,0.958,Very high,NA
group_10135,348,78.2,0.855,Confident,NA
group_10069,349,87.6,0.94,Confident,NA
group_10671,349,91.1,0.947,Very high,NA
group_6890,349,84.3,0.898,Confident,NA
group_10889,349,87.6,0.925,Confident,NA
group_10908,349,85.6,0.705,Confident,NA
group_9492,350,73.4,0.836,Confident,NA
group_10059,350,92.3,0.958,Very high,NA
group_10828,350,82.8,0.804,Confident,NA
group_10900,350,82.2,0.8,Confident,NA
group_6826,351,92.2,0.909,Very high,NA
group_10636,351,86,0.912,Confident,NA
group_9349,353,81.4,0.817,Confident,NA
group_10823,353,90.1,0.92,Very high,NA
rbsC_2,355,94.7,0.967,Very high,NA
group_6712,355,89,0.953,Confident,NA
potA_1,355,95.8,0.968,Very high,NA
group_10122,355,89.4,0.881,Confident,NA
fokIM,355,91.8,0.958,Very high,NA
group_6715,355,83.7,0.87,Confident,NA
group_10300,355,72.7,0.587,Confident,NA
group_6716,355,47.3,0.42,Very low,NA
group_10072,356,86.5,0.538,Confident,NA
group_10277,356,82.9,0.884,Confident,NA
fic_2,358,92.1,0.957,Very high,NA
group_10795,358,90.9,0.95,Very high,NA
group_6610,359,82.8,0.875,Confident,NA
group_10042,360,81.3,0.839,Confident,NA
group_10758,360,90.2,0.821,Very high,NA
group_10097,361,89.2,0.936,Confident,NA
group_6555,361,28,0.166,Very low,NA
group_10252,362,89.4,0.939,Confident,NA
group_10643,362,86.7,0.927,Confident,NA
group_6502,363,59.9,0.462,Low,NA
mshA_4,363,92.3,0.956,Very high,NA
group_10798,363,94.8,0.965,Very high,NA
group_10925,363,89.8,0.913,Confident,NA
group_9600,366,85.6,0.845,Confident,NA
group_9740,366,94.3,0.936,Very high,NA
group_9830,366,80,0.663,Confident,NA
group_10060,366,91.6,0.944,Very high,NA
group_6437,366,61.1,0.444,Low,NA
group_10687,366,51.6,0.379,Low,NA
group_10784,366,91.6,0.691,Very high,NA
group_6417,367,85.2,0.812,Confident,NA
rspA_2,367,91.6,0.959,Very high,NA
group_6380,368,82.7,0.896,Confident,NA
group_10670,368,90.5,0.953,Very high,NA
group_10869,368,94.3,0.959,Very high,NA
group_6357,369,73.1,0.75,Confident,NA
group_6358,369,85.8,0.932,Confident,NA
group_9567,370,91.8,0.961,Very high,NA
group_6342,370,66.6,0.274,Low,NA
group_10043,370,91.6,0.953,Very high,NA
group_10102,370,85.3,0.785,Confident,NA
group_10878,370,81.7,0.9,Confident,NA
group_6331,371,95.7,0.917,Very high,NA
group_10062,371,88,0.924,Confident,NA
group_6317,372,88.9,0.933,Confident,NA
mdtL_2,372,91.1,0.924,Very high,NA
group_6318,372,88.8,0.709,Confident,NA
group_10256,373,82.4,0.895,Confident,NA
group_10789,373,89.1,0.797,Confident,NA
mcrC,373,83,0.822,Confident,NA
elmGT,374,86.6,0.94,Confident,NA
ydiO_3,374,91,0.952,Very high,NA
group_10420,374,89.7,0.945,Confident,NA
group_6257,375,86.7,0.659,Confident,NA
group_9538,375,90,0.793,Very high,NA
group_9745,375,89.4,0.939,Confident,NA
group_10312,375,85.2,0.927,Confident,NA
aplIM,376,91.3,0.959,Very high,NA
group_10022,376,88.5,0.801,Confident,NA
group_10374,376,39.7,0.19,Very low,NA
group_10759,376,92.1,0.893,Very high,NA
group_6222,377,73.3,0.774,Confident,NA
group_8739,378,87.1,0.881,Confident,NA
wecB_2,378,92.9,0.957,Very high,NA
mshA_1,378,90.6,0.946,Very high,NA
group_9642,379,81.1,0.73,Confident,NA
group_6178,379,85.9,0.916,Confident,NA
yesR,379,85.1,0.912,Confident,NA
group_6179,379,74,0.518,Confident,NA
group_9419,380,31.1,0.175,Very low,NA
group_6164,380,81.3,0.528,Confident,NA
group_9575,381,89.2,0.926,Confident,NA
group_6146,381,73.4,0.756,Confident,NA
ftsH_1,381,89.2,0.834,Confident,NA
group_6148,381,93.2,0.95,Very high,NA
yejK_1,382,87.5,0.674,Confident,NA
yqhD_1,382,91,0.94,Very high,NA
group_6121,382,61.6,0.423,Low,NA
tarF,382,90.3,0.944,Very high,NA
group_10730,382,83.9,0.921,Confident,NA
yiaY_2,383,95.1,0.97,Very high,NA
group_9759,383,90.6,0.75,Very high,NA
group_9942,383,82.5,0.849,Confident,NA
group_6108,383,49.5,0.317,Very low,NA
group_10860,383,85.8,0.933,Confident,NA
group_6087,384,89.8,0.933,Confident,NA
xerC_2,384,91.9,0.788,Very high,NA
group_10257,384,93,0.954,Very high,NA
group_10646,384,89,0.743,Confident,NA
group_10794,384,90.6,0.947,Very high,NA
wecB_1,384,85.9,0.924,Confident,NA
group_9411,385,92.8,0.948,Very high,NA
group_10870,385,79.8,0.897,Confident,NA
group_6053,386,86,0.791,Confident,NA
rlhA_1,386,70.1,0.399,Confident,NA
group_6054,386,77.4,0.589,Confident,NA
group_10281,387,88.4,0.931,Confident,NA
group_10404,387,50.4,0.346,Low,NA
group_10800,387,89.6,0.941,Confident,NA
wbbH,388,83.1,0.91,Confident,NA
group_9528,388,87.2,0.669,Confident,NA
group_10063,388,86.9,0.943,Confident,NA
group_10863,389,85.8,0.882,Confident,NA
group_10176,390,80.1,0.906,Confident,NA
group_9795,391,92.6,0.915,Very high,NA
group_5968,391,91,0.928,Very high,NA
yadA,391,87.6,0.595,Confident,NA
gpFI,392,92.4,0.93,Very high,NA
intS_1,392,94.6,0.851,Very high,NA
group_5954,392,59.8,0.41,Low,NA
group_10111,392,75.6,0.872,Confident,NA
group_10116,392,94,0.963,Very high,NA
group_10668,392,94.2,0.957,Very high,NA
group_9338,394,88.3,0.79,Confident,NA
group_10260,394,94.2,0.955,Very high,NA
group_5916,395,91.5,0.931,Very high,NA
group_5917,395,82.2,0.922,Confident,NA
sbmA_2,395,74.9,0.742,Confident,NA
group_10960,395,76,0.528,Confident,NA
group_5904,396,92.1,0.964,Very high,NA
group_5888,397,87.7,0.63,Confident,NA
ybjJ_1,397,92.6,0.952,Very high,NA
group_5889,397,91.9,0.925,Very high,NA
group_10884,397,92.6,0.957,Very high,NA
uxaA_1,398,86.8,0.935,Confident,NA
group_5867,398,86.4,0.923,Confident,NA
group_8387,398,29.5,0.187,Very low,NA
group_5868,398,86.5,0.881,Confident,NA
ydhP_2,399,92.6,0.943,Very high,NA
group_5837,400,79,0.66,Confident,NA
group_9803,400,79.8,0.881,Confident,NA
tetA,401,92.7,0.944,Very high,NA
group_9741,401,89.2,0.938,Confident,NA
group_10797,401,80.5,0.906,Confident,NA
group_9559,403,93,0.962,Very high,NA
glgA_2,403,84.5,0.917,Confident,NA
btuD_2,404,86.7,0.702,Confident,NA
group_5760,404,89.2,0.853,Confident,NA
group_5744,405,65.8,0.453,Low,NA
RBKS,405,90.6,0.828,Very high,NA
group_10665,405,62.9,0.5,Low,NA
group_5750,405,87.8,0.887,Confident,NA
arcA_2,406,86.9,0.927,Confident,NA
group_5723,406,84.1,0.881,Confident,NA
group_10057,406,92,0.959,Very high,NA
codB_3,406,93.1,0.961,Very high,NA
group_10309,406,78.8,0.882,Confident,NA
group_10666,407,94.1,0.959,Very high,NA
group_9527,408,91.7,0.887,Very high,NA
group_10313,408,89.1,0.949,Confident,NA
group_10822,408,75.8,0.531,Confident,NA
group_10699,409,80.7,0.907,Confident,NA
RBKS_1,410,86.3,0.802,Confident,NA
group_10928,410,76.2,0.532,Confident,NA
tibC,411,83.7,0.892,Confident,NA
group_10173,411,61.5,0.331,Low,NA
yegT_2,411,90.8,0.933,Very high,NA
group_9753,412,92.4,0.921,Very high,NA
group_10037,412,80.8,0.466,Confident,NA
group_10370,412,91.3,0.9,Very high,NA
group_10425,412,92.3,0.947,Very high,NA
group_5621,412,95.1,0.963,Very high,NA
group_9511,413,87.4,0.941,Confident,NA
intZ,413,89.2,0.787,Confident,NA
group_10762,413,93.5,0.894,Very high,NA
group_10867,413,93.5,0.967,Very high,NA
group_9805,414,95,0.967,Very high,NA
group_10462,414,78.4,0.866,Confident,NA
group_5574,415,92,0.945,Very high,NA
group_9531,415,91.1,0.944,Very high,NA
group_5575,415,86,0.913,Confident,NA
group_5576,415,77.6,0.832,Confident,NA
group_10799,416,94.4,0.971,Very high,NA
group_10882,416,79.8,0.883,Confident,NA
wecC_1,417,91.6,0.924,Very high,NA
rspA_1,417,85,0.91,Confident,NA
group_9425,418,91.6,0.893,Very high,NA
nupG_1,418,88.4,0.919,Confident,NA
murJ_1,418,95.1,0.966,Very high,NA
group_9396,419,73,0.7,Confident,NA
group_5500,420,74.1,0.672,Confident,NA
group_5502,420,53.8,0.482,Low,NA
group_10431,420,86,0.83,Confident,NA
group_10219,421,88.8,0.875,Confident,NA
group_10282,421,81.5,0.682,Confident,NA
group_5466,423,82.3,0.9,Confident,NA
group_9541,423,85.9,0.913,Confident,NA
hpaIIM,423,87.6,0.898,Confident,NA
ydjA_1,423,89.7,0.877,Confident,NA
group_9971,423,90.5,0.935,Very high,NA
group_10449,424,89.4,0.838,Confident,NA
yiaN_2,425,96.9,0.978,Very high,NA
group_5451,425,89.3,0.708,Confident,NA
group_10599,425,88.6,0.924,Confident,NA
mntH_2,426,93.6,0.961,Very high,NA
group_9493,426,81.6,0.737,Confident,NA
intR_1,426,88.2,0.805,Confident,NA
group_5428,427,82.2,0.846,Confident,NA
group_9558,428,86.3,0.929,Confident,NA
group_9791,428,88,0.919,Confident,NA
dcuA_2,428,90.3,0.945,Very high,NA
group_10606,428,72.8,0.839,Confident,NA
group_5405,429,72.2,0.467,Confident,NA
ydcR_1,432,66.5,0.56,Low,NA
group_10697,433,92.1,0.952,Very high,NA
uhpC_2,434,89.4,0.944,Confident,NA
gsk,434,74.5,0.843,Confident,NA
cusC_2,435,81.2,0.843,Confident,NA
yiaN_5,435,96.7,0.968,Very high,NA
yiaN_1,436,94.7,0.962,Very high,NA
group_5324,436,89.8,0.522,Confident,NA
group_9376,437,73.3,0.474,Confident,NA
dcuB_2,438,85.8,0.921,Confident,NA
xylA_2,439,78.1,0.882,Confident,NA
group_10875,439,72.3,0.78,Confident,NA
uhpC_1,440,88.7,0.93,Confident,NA
group_10195,441,87.3,0.497,Confident,NA
bcsG,442,86.8,0.85,Confident,NA
dcuA_3,444,89.8,0.934,Confident,NA
shiA_1,444,89.9,0.948,Confident,NA
group_9643,446,77,0.496,Confident,NA
glpT_2,448,88.7,0.93,Confident,NA
group_5012,450,71.6,0.772,Confident,NA
yfaV_2,451,92.6,0.957,Very high,NA
dgcI_2,452,81.1,0.583,Confident,NA
group_10129,452,78.3,0.515,Confident,NA
group_10725,452,91.3,0.934,Very high,NA
dcuD_2,453,90.3,0.889,Very high,NA
dadD,453,88.2,0.94,Confident,NA
group_4890,454,91,0.895,Very high,NA
group_10716,454,84.1,0.874,Confident,NA
group_10774,454,54,0.52,Low,NA
group_9328,456,68.1,0.592,Low,NA
group_9530,457,91.8,0.924,Very high,NA
group_4804,457,66.4,0.61,Low,NA
group_4805,457,87.2,0.95,Confident,NA
group_9596,458,72.2,0.808,Confident,NA
argH_2,458,94.9,0.971,Very high,NA
group_10174,459,69.1,0.766,Low,NA
lamB_2,460,80.8,0.802,Confident,NA
group_4733,460,90.2,0.927,Very high,NA
group_9565,461,86.3,0.934,Confident,NA
group_10261,461,89.3,0.922,Confident,NA
yaaU_2,465,92.1,0.938,Very high,NA
group_10667,465,69.8,0.63,Low,NA
group_10268,466,93.4,0.943,Very high,NA
aspA_2,466,94.2,0.967,Very high,NA
group_9560,467,88.3,0.929,Confident,NA
group_9615,467,79.7,0.672,Confident,NA
yfcC_2,467,88.9,0.891,Confident,NA
group_9645,468,63.4,0.558,Low,NA
group_9799,468,79.1,0.622,Confident,NA
group_10628,468,78.1,0.565,Confident,NA
group_4442,469,93.2,0.958,Very high,NA
yfjI,470,91.6,0.875,Very high,NA
group_4397,471,93,0.875,Very high,NA
group_10861,472,86.8,0.879,Confident,NA
group_10862,472,48.7,0.581,Very low,NA
glmM_2,473,94.6,0.964,Very high,NA
group_10255,473,70.6,0.631,Confident,NA
hlyD,473,91.8,0.792,Very high,NA
group_4280,474,70.1,0.634,Confident,NA
wcaJ_2,474,84.5,0.649,Confident,NA
group_4284,474,90.2,0.911,Very high,NA
cpsB_1,476,68.9,0.635,Low,NA
group_9701,476,89.9,0.946,Confident,NA
group_4202,477,88.2,0.755,Confident,NA
group_10027,478,91.7,0.963,Very high,NA
group_9518,479,87.5,0.818,Confident,NA
glmM_1,479,94.9,0.97,Very high,NA
dan,480,88.4,0.943,Confident,NA
group_10610,480,86.3,0.903,Confident,NA
group_10877,481,95.2,0.975,Very high,NA
COQ2,482,94.6,0.961,Very high,NA
group_4114,482,87.1,0.911,Confident,NA
group_9960,484,87.9,0.916,Confident,NA
group_10163,484,90.6,0.933,Very high,NA
group_9362,485,86.2,0.927,Confident,NA
group_10271,487,85.9,0.887,Confident,NA
group_9702,488,86.1,0.932,Confident,NA
group_9242,489,86,0.657,Confident,NA
group_3990,489,76.7,0.588,Confident,NA
group_10100,491,74.4,0.388,Confident,NA
group_10212,493,82.7,0.691,Confident,NA
group_10678,493,89.6,0.9,Confident,NA
group_9806,495,90.1,0.754,Very high,NA
group_10210,495,80.3,0.875,Confident,NA
group_10768,496,33.6,0.251,Very low,NA
group_9946,497,68.8,0.55,Low,NA
group_3839,497,68.2,0.562,Low,NA
lamB_3,498,74.9,0.772,Confident,NA
group_3819,498,72.1,0.583,Confident,NA
group_10196,499,88.6,0.939,Confident,NA
group_10632,500,90,0.927,Very high,NA
group_3667,504,78.9,0.808,Confident,NA
group_10121,505,80.6,0.855,Confident,NA
glpK_2,506,87.1,0.909,Confident,NA
group_3541,510,87.2,0.927,Confident,NA
group_10614,510,90.3,0.846,Very high,NA
hofB_2,512,90.1,0.852,Very high,NA
group_3441,516,89.8,0.848,Confident,NA
group_3421,517,81.6,0.668,Confident,NA
group_10211,518,74.1,0.733,Confident,NA
group_3406,518,87,0.941,Confident,NA
group_10205,519,80.9,0.899,Confident,NA
group_9321,521,81.6,0.745,Confident,NA
group_3332,523,87.8,0.742,Confident,NA
fliC,524,77.3,0.564,Confident,NA
group_9327,525,89.8,0.917,Confident,NA
group_9593,527,77.2,0.671,Confident,NA
group_10203,532,88.5,0.937,Confident,NA
group_9969,535,90.1,0.915,Very high,NA
group_10162,535,93.7,0.961,Very high,NA
group_9501,537,75.6,0.776,Confident,NA
group_3131,539,63,0.577,Low,NA
group_3114,540,88.9,0.917,Confident,NA
group_10417,542,77.8,0.549,Confident,NA
group_10184,543,85.3,0.815,Confident,NA
group_10645,546,82.8,0.831,Confident,NA
group_10161,551,85.5,0.925,Confident,NA
group_9611,555,86.5,0.909,Confident,NA
tarM,555,79.6,0.818,Confident,NA
group_9513,558,84.3,0.921,Confident,NA
group_2922,558,84.4,0.639,Confident,NA
group_2925,558,59.2,0.396,Low,NA
group_9958,559,85.2,0.929,Confident,NA
group_2895,560,79.5,0.724,Confident,NA
group_10317,561,90.4,0.769,Very high,NA
group_10598,561,56.7,0.454,Low,NA
group_2860,562,71.6,0.741,Confident,NA
group_2836,564,85.1,0.823,Confident,NA
group_2837,564,87,0.826,Confident,NA
group_10872,569,89.6,0.893,Confident,NA
group_10683,571,90.1,0.79,Very high,NA
group_2759,573,74.8,0.728,Confident,NA
group_9357,574,81.8,0.58,Confident,NA
group_9688,574,90.2,0.75,Very high,NA
group_10103,576,82.3,0.847,Confident,NA
group_2676,580,82,0.44,Confident,NA
group_2642,583,78.9,0.497,Confident,NA
group_2617,586,90.5,0.908,Very high,NA
group_9703,587,73.5,0.663,Confident,NA
group_10114,588,84.7,0.879,Confident,NA
group_9824,590,38.8,0.304,Very low,NA
group_10700,591,87.6,0.767,Confident,NA
group_10401,593,85.9,0.701,Confident,NA
group_10341,595,85.7,0.64,Confident,NA
group_10285,597,88.2,0.763,Confident,NA
group_9519,598,73.2,0.53,Confident,NA
group_9605,598,87,0.704,Confident,NA
group_10098,601,80.3,0.596,Confident,NA
group_2462,602,87.2,0.76,Confident,NA
group_9359,603,84.8,0.61,Confident,NA
group_9552,608,74.3,0.307,Confident,NA
group_10786,608,88,0.622,Confident,NA
group_2415,611,83.9,0.824,Confident,NA
group_10230,611,77.7,0.302,Confident,NA
group_9618,613,80.4,0.588,Confident,NA
rep_3,616,88.5,0.888,Confident,NA
group_2330,618,85.3,0.822,Confident,NA
traN,619,72.2,0.413,Confident,NA
group_2311,622,72.4,0.813,Confident,NA
group_9529,623,85.3,0.851,Confident,NA
group_10078,623,86.6,0.819,Confident,NA
group_9455,627,74.9,0.341,Confident,NA
group_10708,636,85.4,0.821,Confident,NA
group_2143,641,86.9,0.89,Confident,NA
group_2117,643,84.5,0.745,Confident,NA
group_9780,645,75.5,0.579,Confident,NA
group_2061,651,86.1,0.517,Confident,NA
traG,652,88.9,0.841,Confident,NA
group_10642,652,67.5,0.399,Low,NA
htpG_2,652,84.9,0.688,Confident,NA
group_9348,654,80.5,0.357,Confident,NA
group_10421,654,82.3,0.771,Confident,NA
rep_1,658,83.8,0.823,Confident,NA
group_1988,658,74,0.619,Confident,NA
group_10629,659,88.2,0.704,Confident,NA
group_10709,659,72.3,0.652,Confident,NA
group_10025,660,82,0.817,Confident,NA
group_10367,662,81.4,0.849,Confident,NA
group_9074,669,70.4,0.388,Confident,NA
group_9654,671,85.5,0.604,Confident,NA
group_9697,673,76.8,0.641,Confident,NA
group_1863,673,83.4,0.89,Confident,NA
group_10814,673,88.2,0.878,Confident,NA
group_10909,673,88.2,0.874,Confident,NA
group_10188,677,83.1,0.837,Confident,NA
group_10330,679,63.8,0.247,Low,NA
group_9510,690,72.5,0.65,Confident,NA
group_9339,704,76.7,0.592,Confident,NA
group_10087,704,88.4,0.754,Confident,NA
group_1626,705,72.4,0.581,Confident,NA
group_9561,710,91.2,0.795,Very high,NA
group_9536,712,84.4,0.71,Confident,NA
group_10415,713,89.1,0.926,Confident,NA
group_10917,725,92.5,0.896,Very high,NA
group_10423,726,77.5,0.656,Confident,NA
topB_2,726,92.5,0.891,Very high,NA
group_9549,727,83,0.499,Confident,NA
group_10757,730,84.6,0.935,Confident,NA
apxIB,731,86.7,0.771,Confident,NA
fhuA_2,731,87.5,0.917,Confident,NA
group_9647,732,84.2,0.76,Confident,NA
group_10790,741,85.9,0.942,Confident,NA
group_1342,754,88.3,0.958,Confident,NA
group_10145,754,78.4,0.739,Confident,NA
group_10451,758,81.6,0.889,Confident,NA
group_10672,763,80.6,0.568,Confident,NA
group_10763,770,88.6,0.623,Confident,NA
pdeI_2,777,84.7,0.537,Confident,NA
yraJ,785,86.4,0.835,Confident,NA
group_1188,787,58.2,0.44,Low,NA
hypF_1,792,93.6,0.957,Very high,NA
yhcD,800,86.7,0.825,Confident,NA
group_10136,819,85.3,0.843,Confident,NA
group_10378,822,88.6,0.865,Confident,NA
cshA,826,74.6,0.736,Confident,NA
group_9749,827,74,0.528,Confident,NA
group_991,830,85,0.82,Confident,NA
group_10422,831,84.2,0.681,Confident,NA
group_965,836,80.3,0.719,Confident,NA
group_10410,836,89,0.789,Confident,NA
group_10912,837,87.5,0.904,Confident,NA
group_10821,845,88,0.895,Confident,NA
group_898,859,90.3,0.947,Very high,NA
group_9821,865,86.4,0.665,Confident,NA
group_10607,867,69.5,0.663,Low,NA
group_9334,870,69.2,0.673,Low,NA
traC,879,86.1,0.875,Confident,NA
group_10276,883,88.3,0.767,Confident,NA
group_9429,884,90.4,0.841,Very high,NA
group_820,884,76.1,0.783,Confident,NA
group_816,885,82,0.652,Confident,NA
group_9928,889,75.6,0.868,Confident,NA
lktA,889,52.8,0.45,Low,NA
group_9927,904,61.4,0.529,Low,NA
group_773,905,91.2,0.723,Very high,NA
group_10692,916,68.7,0.631,Low,NA
group_9695,920,79.8,0.673,Confident,NA
group_9330,930,59.9,0.504,Low,NA
group_10209,930,88.4,0.729,Confident,NA
group_10086,952,80.1,0.845,Confident,NA
group_10680,955,60.5,0.632,Low,NA
group_9649,968,70.5,0.498,Confident,NA
group_10411,988,79.9,0.454,Confident,NA
group_9972,990,82.4,0.773,Confident,NA
group_10691,1000,78.8,0.842,Confident,NA
group_10084,1001,73.5,0.482,Confident,NA
group_10306,1010,86.1,0.829,Confident,NA
cpdA_1,1014,84.2,0.657,Confident,NA
group_9382,1020,88.2,0.915,Confident,NA
hlyA,1020,52.8,0.504,Low,NA
group_524,1032,76.7,0.693,Confident,NA
group_9546,1035,84.3,0.854,Confident,NA
group_518,1037,66,0.55,Low,NA
group_10693,1041,87,0.618,Confident,NA
group_9500,1043,70.1,0.421,Confident,NA
group_10426,1044,83.1,0.714,Confident,NA
group_9550,1068,76.7,0.526,Confident,NA
group_435,1090,80.9,0.724,Confident,NA
group_431,1093,85,0.805,Confident,NA
ypjA_2,1104,85.3,0.619,Confident,NA
group_9929,1104,85.7,0.748,Confident,NA
group_10433,1108,53.7,0.229,Low,NA
group_10804,1149,75.2,0.652,Confident,NA
