Gene,group,annotated,COG_category,COG_description,Preferred_name,GOs,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction
yddA_2~~~yddA_1~~~yddA,shell,Yes,P,Inorganic ion transport and metabolism,yddA,"GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0008144,GO:0016020,GO:0016021,GO:0017076,GO:0030554,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044425,GO:0044464,GO:0071944,GO:0097159,GO:0097367,GO:1901265,GO:1901363",ko:K02471,"ko02010,map02010",-,-
hcp,core,Yes,C,Energy production and conversion,hcp,"GO:0000302,GO:0001505,GO:0003674,GO:0003824,GO:0004601,GO:0006807,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009056,GO:0009636,GO:0009987,GO:0010035,GO:0016209,GO:0016491,GO:0016661,GO:0016684,GO:0017144,GO:0034641,GO:0042133,GO:0042135,GO:0042221,GO:0042493,GO:0042542,GO:0042737,GO:0044237,GO:0044248,GO:0044270,GO:0046209,GO:0046210,GO:0046677,GO:0050418,GO:0050896,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0072593,GO:0097237,GO:0098754,GO:0098869,GO:1901700,GO:1990748,GO:2001057",ko:K05601,"ko00910,map00910",-,R00143
dauA,core,Yes,P,Inorganic ion transport and metabolism,ychM,"GO:0003333,GO:0003674,GO:0005215,GO:0005310,GO:0005326,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006835,GO:0006836,GO:0006855,GO:0006865,GO:0008150,GO:0008272,GO:0008509,GO:0008514,GO:0015075,GO:0015103,GO:0015116,GO:0015138,GO:0015141,GO:0015171,GO:0015172,GO:0015179,GO:0015183,GO:0015238,GO:0015318,GO:0015556,GO:0015698,GO:0015711,GO:0015740,GO:0015741,GO:0015744,GO:0015800,GO:0015807,GO:0015810,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0042221,GO:0042493,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0070778,GO:0071422,GO:0071702,GO:0071705,GO:0071944,GO:0072348,GO:0098656,GO:0098660,GO:0098661,GO:1901682,GO:1902358,GO:1902475,GO:1903825,GO:1905039",ko:K03321,-,-,-
treF,core,Yes,G,Carbohydrate metabolism and transport,treF,"GO:0003674,GO:0003824,GO:0004553,GO:0004555,GO:0005975,GO:0005984,GO:0005991,GO:0005993,GO:0006950,GO:0006970,GO:0006972,GO:0008150,GO:0008152,GO:0009056,GO:0009311,GO:0009313,GO:0009628,GO:0009987,GO:0015927,GO:0016052,GO:0016787,GO:0016798,GO:0033554,GO:0044237,GO:0044238,GO:0044248,GO:0044262,GO:0044275,GO:0046352,GO:0050896,GO:0051716,GO:0071214,GO:0071470,GO:0071474,GO:0071704,GO:0104004,GO:1901575",ko:K01194,"ko00500,ko01100,map00500,map01100",-,R00010
pgi~~~pgi_2,core,Yes,F,Nucleotide metabolism and transport,pgi,"GO:0003674,GO:0003824,GO:0004347,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016853,GO:0016860,GO:0016861,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0033554,GO:0034404,GO:0034599,GO:0034641,GO:0034654,GO:0034655,GO:0042221,GO:0042802,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0050896,GO:0051186,GO:0051188,GO:0051716,GO:0055086,GO:0070887,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576",ko:K01810,"ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200","M00001,M00004,M00114","R02739,R02740,R03321"
flgK_2~~~flgK_1~~~flgK,core,Yes,N,Cell motility,flgK,"GO:0006996,GO:0008150,GO:0009987,GO:0016043,GO:0022607,GO:0030030,GO:0030031,GO:0044085,GO:0044780,GO:0044781,GO:0070925,GO:0071840",ko:K02396,"ko02040,map02040",-,-
ubiB,core,Yes,H,Coenzyme metabolis,ubiB,"GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0006732,GO:0006733,GO:0006743,GO:0006744,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0016020,GO:0042180,GO:0042181,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044464,GO:0051186,GO:0051188,GO:0071704,GO:0071944,GO:1901576,GO:1901661,GO:1901663",ko:K03688,-,-,-
group_4803,core,Yes,S,Function Unknown,ydcJ,-,-,-,-,-
group_18844,cloud,Yes,F,Nucleotide metabolism and transport,pyrG,"GO:0003674,GO:0003824,GO:0003883,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006213,GO:0006220,GO:0006221,GO:0006241,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009142,GO:0009147,GO:0009148,GO:0009163,GO:0009165,GO:0009199,GO:0009201,GO:0009208,GO:0009209,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0016874,GO:0016879,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034404,GO:0034641,GO:0034654,GO:0042455,GO:0042802,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046036,GO:0046131,GO:0046132,GO:0046134,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659",ko:K01937,"ko00240,ko01100,map00240,map01100",M00052,"R00571,R00573"
group_4813,core,Yes,S,Function Unknown,bsmA,"GO:0000302,GO:0006950,GO:0006974,GO:0006979,GO:0008150,GO:0009636,GO:0009987,GO:0010035,GO:0033554,GO:0042221,GO:0042493,GO:0042542,GO:0042710,GO:0044010,GO:0044764,GO:0046677,GO:0050896,GO:0051704,GO:0051716,GO:1901700",-,-,-,-
opgD,core,Yes,P,Inorganic ion transport and metabolism,mdoD,"GO:0000271,GO:0005575,GO:0005623,GO:0005975,GO:0005976,GO:0006073,GO:0006109,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009311,GO:0009312,GO:0009889,GO:0009987,GO:0010556,GO:0010675,GO:0010962,GO:0016051,GO:0019222,GO:0030288,GO:0030313,GO:0031323,GO:0031326,GO:0031975,GO:0032881,GO:0032885,GO:0032950,GO:0032951,GO:0033692,GO:0034637,GO:0034645,GO:0042597,GO:0043170,GO:0043255,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044464,GO:0050789,GO:0050794,GO:0051273,GO:0051274,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:1901576,GO:2000112",ko:K03670,-,-,-
mtfA,core,Yes,S,Function Unknown,mtfA,"GO:0003674,GO:0003824,GO:0004177,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006355,GO:0006508,GO:0006807,GO:0008134,GO:0008150,GO:0008152,GO:0008233,GO:0008238,GO:0009889,GO:0010468,GO:0010556,GO:0016787,GO:0019219,GO:0019222,GO:0019538,GO:0031323,GO:0031326,GO:0043170,GO:0043433,GO:0044092,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0048519,GO:0050789,GO:0050794,GO:0051090,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0065009,GO:0070011,GO:0071704,GO:0080090,GO:0140096,GO:1901564,GO:1903506,GO:2000112,GO:2001141",ko:K09933,-,-,-
mppA_1~~~mppA~~~mppA_2,soft_core,Yes,E,Amino Acid metabolis and transport,mppA,"GO:0005575,GO:0005623,GO:0006810,GO:0006857,GO:0008150,GO:0015833,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0042886,GO:0042939,GO:0044464,GO:0051179,GO:0051234,GO:0071702,GO:0071705",ko:K15580,"ko01501,ko02010,ko02024,map01501,map02010,map02024",M00439,-
group_4825,core,Yes,S,Function Unknown,ynaJ,-,-,-,-,-
group_4830,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
pdeD_2~~~pdeD_1~~~pdeD,core,Yes,T,Signal Transduction,yoaD,"GO:0006950,GO:0006974,GO:0008150,GO:0009987,GO:0033554,GO:0050896,GO:0051716",ko:K21090,"ko02026,map02026",-,-
trpB,core,Yes,E,Amino Acid metabolis and transport,trpB,"GO:0000162,GO:0003674,GO:0003824,GO:0004834,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0016829,GO:0016835,GO:0016836,GO:0018130,GO:0019438,GO:0019752,GO:0019842,GO:0030170,GO:0034641,GO:0036094,GO:0042401,GO:0042430,GO:0042435,GO:0042802,GO:0043167,GO:0043168,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046219,GO:0046394,GO:0046483,GO:0048037,GO:0050662,GO:0070279,GO:0071704,GO:0097159,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",ko:K01696,"ko00260,ko00400,ko01100,ko01110,ko01130,ko01230,map00260,map00400,map01100,map01110,map01130,map01230",M00023,"R00674,R02340,R02722"
malX_1~~~malX_3~~~malX,cloud,Yes,G,Carbohydrate metabolism and transport,malX,"GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0009758,GO:0016020,GO:0044464,GO:0071944","ko:K02790,ko:K02791","ko00010,ko00500,ko00520,ko02060,map00010,map00500,map00520,map02060",M00266,"R02738,R04111"
rpoS_2,cloud,Yes,K,Transcription,rpoD,-,ko:K03086,-,-,-
opgE_2~~~opgE_3~~~opgE_1~~~opgE,core,Yes,S,Function Unknown,ybiP,"GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009244,GO:0009311,GO:0009312,GO:0009987,GO:0016020,GO:0016051,GO:0016740,GO:0016772,GO:0016776,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044464,GO:0046401,GO:0071704,GO:0071944,GO:1901135,GO:1901137,GO:1901576,GO:1903509",ko:K19353,"ko00540,map00540",-,-
group_4841,cloud,Yes,"J,M","Tranlsation,Cell wall/membrane/envelop biogenesis",-,-,-,-,-,-
yhhT~~~yhhT_1~~~yhhT_2,core,Yes,T,Signal Transduction,yhhT,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008150,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944",ko:K11744,-,-,-
nikA_1~~~nikA_2~~~nikA,core,Yes,E,Amino Acid metabolis and transport,nikA,"GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0006935,GO:0008150,GO:0009605,GO:0016151,GO:0020037,GO:0030288,GO:0030313,GO:0031975,GO:0040011,GO:0042221,GO:0042330,GO:0042597,GO:0043167,GO:0043169,GO:0044464,GO:0046872,GO:0046906,GO:0046914,GO:0048037,GO:0050896,GO:0050919,GO:0051540,GO:0097159,GO:1901363","ko:K02035,ko:K15584","ko02010,ko02024,map02010,map02024","M00239,M00440",-
ydiF_1~~~ydiF_2~~~ydiF_3,shell,Yes,I,Lipid metabolism,ydiF,-,"ko:K01026,ko:K19709","ko00620,ko00627,ko00640,ko00643,ko00650,ko01100,ko01120,map00620,map00627,map00640,map00643,map00650,map01100,map01120",-,"R00928,R01179,R01359,R01449,R05508,R07832"
caiC_1~~~caiC~~~caiC_2,core,Yes,"I,Q","Lipid metabolism,Secondary Structure",caiC,"GO:0003674,GO:0003824,GO:0016405,GO:0016874,GO:0016877,GO:0016879,GO:0016881,GO:0051108,GO:0051109",ko:K02182,-,-,-
appC,core,Yes,C,Energy production and conversion,appC,"GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009060,GO:0009987,GO:0015980,GO:0016020,GO:0016491,GO:0016679,GO:0016682,GO:0019646,GO:0022900,GO:0022904,GO:0032991,GO:0044237,GO:0044464,GO:0045333,GO:0055114,GO:0070069,GO:0071944",ko:K00425,"ko00190,ko01100,ko02020,map00190,map01100,map02020",M00153,R11325
dsdX~~~dsdX_1~~~dsdX_2,soft_core,Yes,P,Inorganic ion transport and metabolism,dsdX,"GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006855,GO:0006865,GO:0006950,GO:0006974,GO:0008028,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0008643,GO:0009987,GO:0015075,GO:0015128,GO:0015144,GO:0015171,GO:0015175,GO:0015238,GO:0015318,GO:0015711,GO:0015718,GO:0015804,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0022889,GO:0031224,GO:0031226,GO:0032329,GO:0033554,GO:0034219,GO:0034220,GO:0035429,GO:0042221,GO:0042493,GO:0042873,GO:0042879,GO:0042940,GO:0042942,GO:0042943,GO:0042945,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0098655,GO:0098656,GO:1903825,GO:1905039","ko:K03299,ko:K13629",-,-,-
xylA_2~~~xylA~~~xylA_1,core,Yes,G,Carbohydrate metabolism and transport,xylA,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0005996,GO:0008150,GO:0008152,GO:0009045,GO:0009056,GO:0016052,GO:0016853,GO:0016860,GO:0016861,GO:0019321,GO:0019323,GO:0042732,GO:0042843,GO:0044238,GO:0044281,GO:0044282,GO:0044424,GO:0044464,GO:0046365,GO:0071704,GO:1901575",ko:K01805,"ko00040,ko00051,ko01100,map00040,map00051,map01100",-,"R00878,R01432"
nhaB,core,Yes,P,Inorganic ion transport and metabolism,nhaB,"GO:0003674,GO:0005215,GO:0005451,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006873,GO:0006885,GO:0008150,GO:0008324,GO:0009987,GO:0010035,GO:0010038,GO:0010226,GO:0015075,GO:0015077,GO:0015078,GO:0015081,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015318,GO:0015385,GO:0015491,GO:0015672,GO:0016020,GO:0019725,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030004,GO:0030641,GO:0034220,GO:0035725,GO:0042221,GO:0042592,GO:0044464,GO:0045851,GO:0046873,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051234,GO:0051452,GO:0051453,GO:0055067,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0099516,GO:1902600",ko:K03314,-,-,-
group_5965,cloud,Yes,C,Energy production and conversion,-,-,-,-,-,-
caiT_1~~~caiT_2~~~yeaV,cloud,Yes,P,Inorganic ion transport and metabolism,cudT,-,ko:K03451,-,-,-
group_4873,cloud,Yes,L,Replication and repair,-,-,ko:K07491,-,-,-
lsrR_2~~~lsrR_3,shell,Yes,K,Transcription,lsrR,"GO:0000976,GO:0000984,GO:0000986,GO:0000987,GO:0001017,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0042802,GO:0043170,GO:0043254,GO:0043565,GO:0044087,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:1990837,GO:2000112,GO:2000142,GO:2001141",ko:K11531,"ko02024,ko02026,map02024,map02026",-,-
opgE_2~~~opgE_3,cloud,Yes,S,Function Unknown,-,-,ko:K19353,"ko00540,map00540",-,-
group_4891,cloud,Yes,L,Replication and repair,insK,-,ko:K07497,-,-,-
ybcK~~~ybcK_2,cloud,Yes,L,Replication and repair,ybcK,-,-,-,-,-
ygjH~~~ygjH_1~~~ygjH_2,core,Yes,J,Tranlsation,ygjH,"GO:0000049,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0017101,GO:0017102,GO:0019538,GO:0019752,GO:0032991,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576",ko:K06878,-,-,-
cadA~~~cadA_1,soft_core,Yes,E,Amino Acid metabolis and transport,cadA,"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0006082,GO:0006520,GO:0006553,GO:0006554,GO:0006807,GO:0008150,GO:0008152,GO:0008923,GO:0009056,GO:0009063,GO:0009066,GO:0009068,GO:0009987,GO:0016054,GO:0016829,GO:0016830,GO:0016831,GO:0017076,GO:0019001,GO:0019752,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0071704,GO:0097159,GO:0097216,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606","ko:K01582,ko:K01584","ko00310,ko00330,ko00960,ko01100,ko01110,map00310,map00330,map00960,map01100,map01110",M00133,"R00462,R00566"
lysU_1~~~lysU~~~lysU_2,soft_core,Yes,J,Tranlsation,lysS,"GO:0000166,GO:0000287,GO:0003674,GO:0003824,GO:0004812,GO:0004824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006430,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0017076,GO:0019538,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034660,GO:0035639,GO:0036094,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:0140098,GO:0140101,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576",ko:K04567,"ko00970,map00970","M00359,M00360",R03658
gstA_1~~~gstA_2~~~gstA,core,Yes,O,"Post-translational modification, protein turnover, chaperone functions",gst,"GO:0000302,GO:0003674,GO:0003824,GO:0004364,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0006979,GO:0008150,GO:0009636,GO:0010035,GO:0016740,GO:0016765,GO:0042221,GO:0042493,GO:0042542,GO:0044424,GO:0044464,GO:0046677,GO:0050896,GO:1901700",ko:K00799,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418",-,"R03522,R07002,R07003,R07004,R07023,R07024,R07025,R07026,R07069,R07070,R07083,R07084,R07091,R07092,R07093,R07094,R07100,R07113,R07116,R08280,R09409,R11905"
dtpA_2~~~dtpA_1~~~dtpA,core,Yes,U,Intracellular trafficing and secretion,dtpA,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006855,GO:0006857,GO:0008150,GO:0008324,GO:0015075,GO:0015077,GO:0015078,GO:0015238,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015333,GO:0015672,GO:0015833,GO:0015893,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022890,GO:0031224,GO:0031226,GO:0034220,GO:0035442,GO:0035443,GO:0035672,GO:0035673,GO:0042221,GO:0042493,GO:0042886,GO:0042887,GO:0042891,GO:0042895,GO:0042937,GO:0042938,GO:0042939,GO:0044425,GO:0044459,GO:0044464,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071916,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:1902600,GO:1904680",ko:K03305,-,-,-
tnsB_1~~~tnsB_2,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
ytfR_1~~~mglA_2~~~rbsA_1,shell,Yes,P,Inorganic ion transport and metabolism,-,-,"ko:K02056,ko:K10441,ko:K10542,ko:K10545,ko:K10551","ko02010,map02010","M00212,M00214,M00215,M00217,M00221",-
yghS_1~~~yghS_2~~~yghS,shell,Yes,F,Nucleotide metabolism and transport,yghS,-,-,-,-,-
group_4910,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_4912,cloud,Yes,P,Inorganic ion transport and metabolism,-,-,-,-,-,-
group_4913,core,Yes,S,Function Unknown,yeaL,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,-,-,-
dgoA_2,shell,Yes,S,Function Unknown,-,-,-,-,-,-
group_4915,shell,Yes,S,Function Unknown,-,-,ko:K07793,"ko02020,map02020",-,-
sstT_2~~~sstT,core,Yes,E,Amino Acid metabolis and transport,sstT,"GO:0003333,GO:0003674,GO:0005215,GO:0005283,GO:0005295,GO:0005310,GO:0005342,GO:0005343,GO:0005416,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006820,GO:0006835,GO:0006865,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0015075,GO:0015077,GO:0015081,GO:0015171,GO:0015175,GO:0015291,GO:0015293,GO:0015294,GO:0015318,GO:0015370,GO:0015672,GO:0015711,GO:0015804,GO:0015849,GO:0016020,GO:0016021,GO:0017153,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0032329,GO:0034220,GO:0035725,GO:0044425,GO:0044464,GO:0046873,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0098655,GO:0098656,GO:0098660,GO:0098662,GO:1903825,GO:1905039",ko:K07862,-,-,-
group_4918,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
lsrB_1,shell,Yes,G,Carbohydrate metabolism and transport,lsrB_2,-,ko:K02058,-,M00221,-
rbsA_2~~~araG_1~~~mglA_1~~~ytfR_1,shell,Yes,G,Carbohydrate metabolism and transport,-,-,ko:K02056,-,M00221,-
group_4922,core,Yes,S,Function Unknown,yqiB,-,ko:K09920,-,-,-
